[2026-01-12 19:05:03,040: INFO: main: Welcone to our custom log.]
[2026-02-18 17:57:37,080: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-02-18 17:57:37,097: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-18 17:57:37,101: INFO: common: created directory at: artifacts]
[2026-02-18 17:57:37,103: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-18 17:57:37,105: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-18 17:58:09,832: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-18 18:59:32,545: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-02-18 18:59:32,556: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-02-18 18:59:32,560: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-18 18:59:32,561: INFO: common: created directory at: artifacts]
[2026-02-18 18:59:32,562: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-18 18:59:32,563: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-18 18:59:51,164: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-18 18:59:51,933: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
